Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for (years)?,Hardest V Grade ever climbed ,Frequency of climbing sessions per week,Average hours climbing per week (not including training),Average hours Training for climbing per week ,Campus Board frequency per week ,Campus Board time per week (hours),Frequency of Endurance training sesions per week,General Strength Training frequency per week ,Time spent General strength training per week (hours),Max pull up reps,Max push ups reps,BMI,APE,Pullup ratio,top_or_bottom
1,175.0,77.0,185.0,2,8,3,9,3,0,0,1,2,3,20,50,25.142857142857142,1.0571428571428572,1.2597402597402598,Top
1,182.0,77.0,186.0,2,6,3,6,3,0,0,1,2,2,15,20,23.24598478444632,1.021978021978022,1.1948051948051948,Bottom
1,175.0,62.6,170.0,8,9,4,12,4,0,0,1,2,3,25,25,20.440816326530612,0.9714285714285714,1.3993610223642172,Top
1,190.0,76.0,190.0,2,4,2,4,0,2,0,0,2,1,14,20,21.05263157894737,1.0,1.1842105263157894,Bottom
1,181.0,74.0,182.0,1,4,2,5,1,0,0,0,1,1,22,44,22.587833094227893,1.0055248618784531,1.2972972972972974,Bottom
0,180.0,76.0,185.0,16,8,4,4,6,2,1,2,2,1,13,30,23.456790123456788,1.0277777777777777,1.1710526315789473,Top
1,177.0,68.0,179.0,4,5,3,5,6,0,0,1,3,2,25,60,21.705129432793896,1.0112994350282485,1.3676470588235294,Bottom
1,177.0,63.0,188.0,4,9,6,14,4,1,1,0,2,2,31,50,20.109164033323754,1.0621468926553672,1.492063492063492,Top
1,184.0,75.0,189.0,16,0,3,5,1,0,0,1,1,1,12,25,22.152646502835537,1.0271739130434783,1.16,
1,196.0,83.0,197.0,5,6,2,4,0,0,0,0,3,2,15,30,21.605581007913372,1.0051020408163265,1.180722891566265,Bottom
1,180.0,70.0,175.0,2,3,2,5,0,0,0,0,0,0,5,14,21.604938271604937,0.9722222222222222,1.0714285714285714,Bottom
1,178.0,72.5,182.0,4,6,3,6,0,2,1,0,0,0,35,50,22.88221184193915,1.0224719101123596,1.4827586206896552,Bottom
0,159.38,51.7095,170.7,2,5,3,4,2,1,1,0,0,0,5,5,20.35648049606707,1.07102522273811,1.0966940310774616,Bottom
