Sex,Height (cm),Weight (KG),Arm Span (cm),How long have you been climbing for?,Hardest V Grade ever climbed ,Max pull up reps,max push ups reps
1,182.0,84.0,193.0,1,6,12,10
1,185.0,77.0,189.0,2,7,23,85
1,174.0,59.0,177.0,2,10,22,40
1,180.0,71.0,180.0,1,4,10,20
1,177.0,78.0,180.0,1,1,15,15
0,158.75,58.96,155.0,1,2,1,20
1,172.0,65.0,182.0,6,5,70,30
1,176.0,76.0,177.0,6,6,25,45
1,181.0,68.0,181.0,1,3,13,30
1,165.0,63.0,165.0,4,10,10,30
1,172.0,53.0,172.0,4,8,15,25
1,180.0,63.5,181.0,1,3,20,30
1,201.1,89.0,186.0,1,8,30,55
1,186.0,67.0,191.0,6,8,17,30
1,187.0,63.0,190.0,3,7,21,20
1,173.0,68.0,173.0,4,11,25,30
1,181.0,75.0,180.0,6,8,12,20
1,175.0,65.0,175.0,4,4,25,40
