sex,max_boulder,exp,pullup,pushup,height (cm),weight (kg),span (cm)
1,8,2,20.0,35.0,165.1,62.595696,165.1
1,7,2,19.0,40.0,175.26,76.203456,184.15
0,4,3,5.0,13.0,152.4,49.89512,154.94
1,7,2,19.0,40.0,175.26,76.203456,184.15
1,7,4,24.0,50.0,167.64000000000000,68.0388,170.18
1,9,4,25.0,50.0,170.18,67.131616,167.64000000000000
1,6,4,20.0,33.0,182.88,73.028312,187.96
1,9,6,20.0,28.0,177.8,63.50288,187.96
1,5,4,17.0,27.0,172.72,66.678024,175.26
1,7,4,18.0,34.0,406.4,74.84268,403.86
1,8,4,21.0,35.0,193.04,77.11064,193.04
1,4,2,7.0,330.0,180.34,91.625584,185.42000000000000
1,4,1,26.0,41.0,182.88,71.667536,182.88
1,0,2,30.0,40.0,190.5,82.100152,177.8
1,8,2,18.0,35.0,175.26,68.0388,175.26
1,6,4,14.0,70.0,177.8,69.853168,172.72
1,1,1,15.0,30.0,177.8,83.91452,172.72
1,0,5,11.0,28.0,167.64000000000000,73.028312,177.8
1,5,3,18.0,40.0,185.42000000000000,79.3786,195.58
1,5,3,18.0,40.0,185.42000000000000,79.3786,195.58
1,5,1,27.0,36.0,177.8,68.0388,177.8
1,2,6,20.0,40.0,170.18,66.678024,175.26
1,0,1,13.0,60.0,172.72,77.11064,177.8
1,6,5,23.0,40.0,177.8,72.121128,180.34
1,6,5,15.0,41.0,175.26,75.749864,176.53
1,5,2,14.0,30.0,187.96,85.275296,482.6
1,3,6,15.0,31.0,167.64000000000000,69.853168,171.45
1,6,3,18.0,42.0,185.42000000000000,83.007336,190.5
0,4,2,28.0,14.0,167.64000000000000,60.327736,170.18
1,3,5,18.0,63.0,175.895,66.224432,177.8
1,3,4,14.0,24.0,187.96,82.553744,190.5
1,0,6,15.0,25.0,181.61,70.30676,182.88
1,5,6,15.0,31.0,182.88,78.017824,185.42000000000000
1,0,5,9.0,21.0,182.88,85.728888,187.96
0,9,6,16.0,30.0,157.48,54.431040000000000,157.48
1,0,6,17.0,31.0,190.5,85.728888,198.12
1,0,6,8.0,25.0,193.04,97.52228,190.5
1,5,2,19.0,54.0,175.26,74.84268,190.5
1,1,6,7.0,14.0,187.96,90.264808,180.34
1,9,4,29.0,46.0,180.34,68.945984,187.96
1,7,6,17.0,36.0,172.72,73.481904,182.88
0,0,6,25.0,57.0,162.56,52.16308,165.1
1,9,3,20.0,30.0,180.34,70.30676,185.42000000000000
1,10,6,15.0,30.0,170.18,70.30676,180.34
1,6,6,10.0,11.0,187.96,72.57472,193.04
0,9,6,13.0,19.0,154.94,50.802304,157.48
0,5,4,11.0,15.0,165.1,58.96696,165.1
0,4,3,6.0,15.0,157.48,50.802304,161.29
0,4,3,6.0,15.0,157.48,50.802304,161.29
1,6,5,9.0,26.0,172.72,75.749864,173.99
1,12,4,21.0,22.0,170.18,50.802304,180.34
1,6,4,15.0,40.0,177.8,74.84268,182.88
1,0,6,14.0,31.0,182.88,71.667536,190.5
1,9,6,12.0,14.0,180.34,76.657048,180.34
0,4,3,14.0,31.0,162.56,56.245408,167.64000000000000
1,7,4,12.0,31.0,180.34,78.471416,190.5
1,0,5,16.0,23.0,172.72,68.0388,172.72
1,0,3,16.0,35.0,187.96,77.11064,193.04
1,10,6,15.0,41.0,175.26,66.678024,180.34
0,1,1,3.0,20.0,170.18,54.431040000000000,175.26
1,5,4,16.0,52.0,175.26,74.84268,177.8
1,0,3,11.0,20.0,177.8,70.30676,177.8
0,5,2,10.0,7.0,177.8,69.399576,177.8
1,0,1,18.0,35.0,180.34,70.30676,187.96
1,7,5,16.0,33.0,172.72,69.399576,175.26
1,7,4,20.0,20.0,172.72,68.0388,167.64000000000000
1,0,4,13.0,35.0,170.18,67.585208,171.45
0,0,2,11.0,13.0,172.72,57.606184,170.18
1,0,1,7.0,32.0,191.77,88.904032,190.5
0,3,3,3.0,5.0,172.72,56.699,185.42000000000000
1,3,3,16.0,44.0,170.18,68.0388,170.18
0,1,3,3.0,16.0,172.72,70.30676,175.26
1,9,6,13.0,29.0,172.72,67.585208,180.34
1,7,6,23.0,45.0,172.72,68.6738288,177.8
1,8,1,13.0,30.0,187.96,71.213944,193.04
1,7,3,15.0,30.0,177.8,79.3786,187.96
0,3,2,15.0,40.0,162.56,58.059776,162.56
1,4,6,11.0,41.0,172.72,76.657048,167.64000000000000
1,7,4,12.0,31.0,180.34,78.471416,190.5
1,9,6,16.0,30.0,175.26,78.471416,177.8
0,6,6,12.0,22.0,170.18,63.50288,165.1
1,7,6,15.0,30.0,182.88,81.192968,185.42000000000000
1,6,1,14.0,29.0,187.96,82.553744,187.96
1,6,4,14.0,15.0,187.96,72.57472,187.96
1,9,3,30.0,30.0,175.26,64.863656,182.88
1,8,3,20.0,41.0,187.96,83.91452,193.04
1,5,6,12.0,26.0,180.34,82.553744,180.34
1,6,6,16.0,40.0,175.26,75.749864,176.53
1,6,4,15.0,20.0,190.5,77.11064,198.12
0,4,3,5.0,14.0,165.1,63.50288,167.64000000000000
1,7,6,20.0,50.0,172.72,73.481904,186.69
1,0,1,16.0,41.0,181.61,72.57472,1.27
0,8,3,9.0,26.0,160.02,55.791816,160.02
1,9,4,13.0,25.0,167.64000000000000,54.431040000000000,14.47
0,2,0,10.0,20.0,157.48,55.338224,162.56
1,4,4,20.0,29.0,175.00600000000000,68.0388,176.022
1,6,2,15.0,30.0,175.26,68.0388,176.53
1,8,6,25.0,31.0,180.34,69.399576,193.04
1,1,1,10.0,50.0,182.88,74.84268,185.42000000000000
1,0,1,13.0,22.0,177.8,74.84268,187.96
0,1,2,4.0,9.0,167.64000000000000,70.760352,167.64000000000000
0,3,1,10.0,25.0,157.48,48.080752,157.48
1,5,4,21.0,38.0,182.88,74.84268,187.96
1,0,0,11.0,17.0,177.8,63.049288,180.34
0,6,6,19.0,29.0,162.9918,57.606184,159.766
1,5,5,11.0,33.0,167.64000000000000,79.3786,172.72
0,4,6,11.0,26.0,154.94,56.699,157.48
1,6,5,14.0,21.0,190.5,79.3786,198.12
1,0,5,12.0,21.0,176.53,58.96696,184.15
1,9,4,22.0,48.0,167.64000000000000,60.327736,162.56
1,0,6,13.0,15.0,185.42000000000000,72.57472,187.96
1,0,6,13.0,31.0,182.88,72.57472,190.5
0,0,3,13.0,31.0,162.56,56.245408,165.1
1,7,6,50.0,75.0,190.5,81.192968,15.748000000000000
1,9,5,20.0,36.0,170.18,60.327736,175.26
1,6,6,13.0,24.0,170.18,65.77084000000000,175.26
0,0,6,0.0,1.0,166.37,66.224432,166.37
1,9,1,17.0,28.0,187.96,72.57472,193.04
0,4,6,13.0,33.0,162.56,70.760352,162.56
0,5,3,12.0,10.0,160.02,57.152592,157.48
0,5,5,12.0,25.0,172.72,67.131616,172.72
1,0,6,8.0,6.0,185.42000000000000,68.0388,185.42000000000000
1,3,2,17.0,38.0,182.88,73.481904,182.88
1,6,4,15.0,36.0,177.8,77.11064,182.88
1,6,6,17.0,24.0,180.34,87.543256,185.42000000000000
